,A,B,C,A2,B2,C2
0.8,,,,,,
1.0,,,,,,
1.2,,,,,,
1.4,,,,,,
1.6,,,,,,
1.8,,,,,,
2.0,,,,,,
2.2,,,,,,
2.4,,,,,,
